id,year,day,winner_tie,winner_rank,winner_points,loser_tie,loser_rank,loser_points,attendance,mvp,sponsor,bowl_name
304,2020,Sat,Liberty,23.0,37,Coastal Carolina,9.0,34,4488.0,Liberty QB Malik Willis,FBC Mortgage,Cure Bowl
305,2019,Sat,Liberty,,23,Georgia Southern,,16,18158.0,Liberty DE Jessie Lemonier,FBC Mortgage,Cure Bowl
306,2018,Sat,Tulane,,41,Louisiana,,24,19066.0,Tulane RB Darius Bradwell,AutoNation,Cure Bowl
307,2017,Sat,Georgia State,,27,Western Kentucky,,17,19585.0,Georgia State QB Conner Manning,AutoNation,Cure Bowl
308,2016,Sat,Arkansas State,,31,Central Florida,,13,27213.0,Arkansas St. WR Kendall Sanders,AutoNation,Cure Bowl
310,2021,Thu,South Carolina,,38,North Carolina,,21,45520.0,South Carolina WR Dakereon Joyner,Duke's Mayonnaise,Duke's Mayo Bowl
311,2020,Wed,Wisconsin,,42,Wake Forest,,28,1500.0,Wisconsin LB Jack Sanborn,,Duke's Mayo Bowl
312,2021,Tue,Wyoming,,52,Kent State,,38,10217.0,Wyoming QB Levi Williams,Idaho Potato Commission,Famous Idaho Potato Bowl
313,2020,Tue,Nevada,,38,Tulane,,27,0.0,Nevada QB Carson Strong,Idaho Potato Commission,Famous Idaho Potato Bowl
314,2019,Fri,Ohio,,30,Nevada,,21,13611.0,Ohio QB Nathan Rourke,Idaho Potato Commission,Famous Idaho Potato Bowl
315,2018,Fri,Brigham Young,,49,Western Michigan,,18,18711.0,BYU QB Zach Wilson,Idaho Potato Commission,Famous Idaho Potato Bowl
316,2017,Fri,Wyoming,,37,Central Michigan,,14,16512.0,Wyoming QB Josh Allen,Idaho Potato Commission,Famous Idaho Potato Bowl
317,2016,Thu,Idaho,,61,Colorado State,,50,24975.0,Idaho QB Matt Linehan,Idaho Potato Commission,Famous Idaho Potato Bowl
318,2015,Tue,Akron,,23,Utah State,,21,18876.0,Akron K Robert Stein,Idaho Potato Commission,Famous Idaho Potato Bowl
337,2021,Sat,Oklahoma State,9.0,37,Notre Dame,5.0,35,49550.0,"Oklahoma State QB Spencer Sanders, Oklahoma State LB Malcolm Rodriguez",PlayStation,Fiesta Bowl
